"Best,Best Score,Worst,Worst Score"
"pin.ah,dlvms'yxwberkqj?oguzcft",104.16,",zgclefpiyswohjkvrmub.naq?dt'x",185.20
"pin.ah,dlvme'yxwbsrkqj?oguzcft",89.33,"pih.angdlvms'yxwberkqjto,uzcf?",168.71
"pin.ah,dlvmey'xwbsrkqj?oguzcft",82.11,"pin.ah,wlsmv'yxdberkqj?oguzcft",172.76
"lin.ah,dpvmey'xwbsrkqj?oguzcft",79.05,"pin.ah,dlrue'yxwbsvkqj?ogmzcft",151.48
"lin.ah,dpvmey'owbsrkqj?xguzcft",71.99,"pig.aw,dlvmey'xhbsrkqj?onuzcft",121.78
